Title,Image,URL,Date,Label
Bos Apple Tambah Kaya Rp 647 M Semalam Gara-Gara Ini,https://akcdn.detik.net.id/visual/2023/06/06/ceo-apple-tim-cook-pada-konferensi-pengembang-seluruh-dunia-tahunan-apple-di-kantor-pusat-perusahaan-di-cupertino-california-a_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005123800-37-478108/bos-apple-tambah-kaya-rp-647-m-semalam-gara-gara-ini,17 jam yang lalu,Tech
"Bos Kripto Bangkrut Ditangkap, Polisi Singapura Irit Bicara",https://akcdn.detik.net.id/visual/2022/07/03/su-zhu-founder-three-arrows-capital_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005151226-37-478208/bos-kripto-bangkrut-ditangkap-polisi-singapura-irit-bicara,18 jam yang lalu,Tech
"Google Pixel 8 Andalkan AI Super Canggih, Cek Harga-Spek!",https://akcdn.detik.net.id/visual/2023/10/05/google-pixel-8_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005102311-38-478057/google-pixel-8-andalkan-ai-super-canggih-cek-harga-spek,18 jam yang lalu,Tech
Mimpi Putin Kalahkan NASA Terancam Gagal Gegara Ukraina,https://akcdn.detik.net.id/visual/2023/09/13/presiden-rusia-valdimir-putin-dan-pemimpin-korea-utara-kim-jong-un-saat-pertemuan-di-kosmodrom-vostochny-di-wilayah-amur-timur-3_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005160911-37-478224/mimpi-putin-kalahkan-nasa-terancam-gagal-gegara-ukraina,19 jam yang lalu,Tech
Nasib Pedagang Setelah TikTok Shop Resmi Ditutup,https://akcdn.detik.net.id/visual/2023/10/04/karyawan-melihat-produk-yang-dijual-melalui-tiktok-shop-di-jakarta-rabu-4102023-cnbc-indonesiafaisal-rahman-2_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005072420-37-477993/nasib-pedagang-setelah-tiktok-shop-resmi-ditutup,19 jam yang lalu,Tech
"NASA Ungkap Rumah Masa Depan Manusia, Ini Lokasinya",https://akcdn.detik.net.id/visual/2021/08/23/penampakan-bumi-dari-luar-angkasa-astromegan-via-spacestation_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005134203-37-478140/nasa-ungkap-rumah-masa-depan-manusia-ini-lokasinya,20 jam yang lalu,Tech
Video: Terungkap! Penyebab Internet RI Dinilai Kalah Saing,https://akcdn.detik.net.id/visual/2023/10/04/terungkap-penyebab-internet-ri-dinilai-kalah-saing_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004115746-39-477767/video-terungkap-penyebab-internet-ri-dinilai-kalah-saing,20 jam yang lalu,Tech
"RI Sibuk Jualan Online, Menteri Jokowi Blak-Blakan Puji China",https://akcdn.detik.net.id/visual/2023/10/05/ilustrasi-ecommerce-2_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005152158-37-478210/ri-sibuk-jualan-online-menteri-jokowi-blak-blakan-puji-china,20 jam yang lalu,Tech
"Android 14 Resmi, Cek Deretan Fitur dan HP yang Kebagian",https://akcdn.detik.net.id/visual/2018/07/18/ff30cbec-b4a4-443a-82ec-b2ccf6ee86f6_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005153107-37-478216/android-14-resmi-cek-deretan-fitur-dan-hp-yang-kebagian,21 jam yang lalu,Tech
"HP Mau Punah, Pencipta iPhone dan ChatGPT Punya Penggantinya",https://akcdn.detik.net.id/visual/2022/10/14/ilustrasi-limbah-hp_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005135437-37-478144/hp-mau-punah-pencipta-iphone-dan-chatgpt-punya-penggantinya,21 jam yang lalu,Tech
